Rajtszám;Országkód;Pilóta név
2;BEL;Stoffel Vandoorne
3;AUS;Daniel Ricciardo
4;GBR;Lando Norris
5;GER;Sebastian Vettel
7;FIN;Kimi Räikkönen
8;FRA;Romain Grosjean
9;SWE;Marcus Ericsson
10;FRA;Pierre Gasly
11;MEX;Sergio Pérez
14;ESP;Fernando Alonso
16;MON;Charles Leclerc
18;CAN;Lance Stroll
19;BRA;Felipe Massa
20;DEN;Kevin Magnussen
22;GBR;Jenson Button
26;RUS;Danyiil Kvjat
27;GER;Nico Hülkenberg
28;NZL;Brendon Hartley
30;GBR;Jolyon Palmer
31;FRA;Esteban Ocon
33;NED;Max Verstappen
35;RUS;Szergej Szirotkin
44;GBR;Lewis Hamilton
55;ESP;Carlos Sainz
63;GBR;George Russell
77;FIN;Valtteri Bottas
88;POL;Robert Kubica
94;GER;Pascal Wehrlein
99;ITA;Antonio Giovinazzi
